age,gender,faculty_name,teaching_experience,ub_profile,teaching_mode,ia_knowledge,ia_normative_ub,ia_normative_read,interest_knowledge_teaching_and_research,knowledge_in_evaluation,knowledge_in_teaching,knowledge_in_material_creation,knowledge_in_research,uses_ia_in_teaching,uses_ia_in_research,uses_ia_in_creation,frequency_ia_teaching,frequency_ia_research,asks_students_to_use_ia,students_usage_purpose,detected_inappropriate_ia_use,made_changes_due_to_ia,students_ia_opinions,importance_teaching,importance_research,ia_student_agreement,faculty_ia_strategy,perceived_ia_impact,feelings_about_ia,received_training,interest_in_ia_training
44,Femení,Educació,Menys de 5 anys,Col·laborador/a permanent,Presencial i virtual,Poc coneixement,No hi ha una normativa o orientació,No,No vull saber res de la IA,En desacord,Molt d'acord,Molt d'acord,En desacord,Crear materials docents,Anàlisi de textos,Exàmens o qüestionaris,Esporàdicament,Setmanalment,Sí,Usen les IA per experimentar amb elles,Sí,No,Usen les IA perquè els hi faci treballs o tasques,3,6,1,Integrar-les,Un fet negatiu,Motivat/da,No tinc cap formació,4
47,No binari,Farmàcia i Ciències de la Alimentació,Menys de 5 anys,Lector/a,Únicament presencial,Bon coneixement,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,D'acord,Molt en desacord,Molt d'acord,En desacord,Avaluar tasques,Anàlisi de textos,Textos,Mai,Setmanalment,No,Usen les IA per practicar o auto-avaluar-se,No,Sí,Usen les IA per practicar o auto-avaluar-se,3,8,2,Prohibir-les,Un fet negatiu,Analfabet/ta,He rebut una formació del IDP/ICE,2
46,Femení,Farmàcia i Ciències de la Alimentació,Entre 5 i 10 anys,Agregat/da,Presencial i virtual,Bon coneixement,Sí hi ha una normativa o orientació,Si,No vull saber res de la IA,D'acord,D'acord,D'acord,En desacord,Avaluar tasques,No en faig servir,Presentacions,Setmanalment,Mai,No,Usen les IA com expert a qui preguntar,Sí,Sí,Usen les IA per experimentar amb elles,4,9,3,altres ...,Un fet positiu,Analfabet/ta,No tinc cap formació,6
54,No binari,Farmàcia i Ciències de la Alimentació,Entre 5 i 10 anys,Titular,Únicament virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,Molt en desacord,En desacord,D'acord,Molt en desacord,Crear materials docents,Visualització de dades,Textos,Setmanalment,Diàriament,Sí,Usen les IA perquè els hi faci treballs o tasques,Sí,No,Usen les IA perquè els hi faci treballs o tasques,2,7,1,Integrar-les,Un fet positiu,Engrescat/da,He estat o sóc formador/a d'IA,9
34,No binari,Farmàcia i Ciències de la Alimentació,Menys de 5 anys,PreDoc,Únicament presencial,Cap coneixement,No hi ha una normativa o orientació,Si,Tinc poc interès,En desacord,Molt en desacord,En desacord,Molt en desacord,Avaluar tasques,Visualització de dades,Vídeos,Diàriament,Esporàdicament,No,Per fer resums de llibres o articles,No,Sí,Usen les IA per practicar o auto-avaluar-se,6,4,2,Evitar-les,Un fet negatiu,Analfabet/ta,He estat o sóc formador/a d'IA,7
28,No binari,Farmàcia i Ciències de la Alimentació,Entre 5 i 10 anys,Titular,Únicament virtual,Bon coneixement,No hi ha una normativa o orientació,Si,Tinc molt d'interès,D'acord,Molt en desacord,Molt d'acord,D'acord,Avaluar processos,Recollir dades,Mapes conceptuals o esquemes,Setmanalment,Diàriament,Sí,Usen les IA com expert a qui preguntar,No,Sí,Usen les IA per experimentar amb elles,6,4,2,altres ...,Un fet positiu,Sobrepassat/da,He estat o sóc formador/a d'IA,9
62,Masculí,Farmàcia i Ciències de la Alimentació,Entre 10 i 20 anys,Associat/da,Únicament presencial,Bon coneixement,No hi ha una normativa o orientació,No,No vull saber res de la IA,Molt en desacord,Molt d'acord,Molt en desacord,En desacord,Avaluar processos,Anàlisi de textos,Textos,Mai,Esporàdicament,No,Usen les IA per experimentar amb elles,Sí,No,Usen les IA per practicar o auto-avaluar-se,8,1,2,Integrar-les,Un fet positiu,Analfabet/ta,He rebut una formació al meu departament o facultat,8
41,Femení,Farmàcia i Ciències de la Alimentació,Entre 10 i 20 anys,Col·laborador/a permanent,Únicament virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,No,No vull saber res de la IA,Molt d'acord,Molt d'acord,Molt en desacord,Molt en desacord,Crear activitats d'aprenentatge,Recollir dades,Imatges,Diàriament,Diàriament,No,altres ...,No,No,Usen les IA perquè els hi faci treballs o tasques,5,3,3,Evitar-les,Un fet negatiu,Més productiu/va,M'he autoformat,8
26,Masculí,Farmàcia i Ciències de la Alimentació,Més de 20 anys,Col·laborador/a permanent doctor/a,Presencial i virtual,Coneixement expert,Sí hi ha una normativa o orientació,No,No vull saber res de la IA,Molt d'acord,Molt en desacord,Molt en desacord,En desacord,Avaluar processos,Transcripcions,Presentacions,Mai,Setmanalment,No,Per fer resums de llibres o articles,No,Sí,Per fer resums de llibres o articles,8,6,2,Prohibir-les,Un fet positiu,Motivat/da,M'he autoformat,5
25,Masculí,Farmàcia i Ciències de la Alimentació,Més de 20 anys,Associat/da,Únicament virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,No,Tinc molt d'interès,En desacord,Molt en desacord,Molt d'acord,En desacord,Crear materials docents,Visualització de dades,Presentacions,Diàriament,Mai,No,Usen les IA perquè els hi faci treballs o tasques,Sí,No,Per fer resums de llibres o articles,2,3,2,Prohibir-les,Un fet positiu,Motivat/da,He rebut una formació al meu departament o facultat,8
63,Altres,Farmàcia i Ciències de la Alimentació,Entre 5 i 10 anys,Col·laborador/a permanent doctor/a,Presencial i virtual,Bon coneixement,No hi ha una normativa o orientació,Si,No vull saber res de la IA,D'acord,D'acord,D'acord,Molt en desacord,Crear materials docents,Anàlisi de dades,Situacions d'aprenentatge,Mai,Diàriament,Sí,Usen les IA perquè els hi faci treballs o tasques,No,Sí,Usen les IA per experimentar amb elles,3,1,1,Prohibir-les,Un fet positiu,Sobrepassat/da,He estat o sóc formador/a d'IA,7
51,Altres,Filologia i Comunicació,Més de 20 anys,Catedràtic/a,Únicament presencial,Poc coneixement,Sí hi ha una normativa o orientació,No,No vull saber res de la IA,Molt en desacord,D'acord,D'acord,D'acord,Crear activitats d'aprenentatge,Transcripcions,Textos,Diàriament,Mai,Sí,altres ...,No,No,Usen les IA per experimentar amb elles,3,5,2,Prohibir-les,Un fet negatiu,Motivat/da,He rebut una formació fora de la UB,4
62,Prefereixo no contestar,Filologia i Comunicació,Entre 5 i 10 anys,Col·laborador/a permanent,Únicament virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc un interès moderat,D'acord,Molt d'acord,D'acord,Molt en desacord,Crear materials docents,Visualització de dades,Vídeos,Setmanalment,Mai,No,altres ...,Sí,Sí,altres ...,7,5,2,Superar-les,Un fet negatiu,"Abandonat/da, sense suport",He estat o sóc formador/a d'IA,1
44,No binari,Filologia i Comunicació,Menys de 5 anys,Col·laborador/a permanent,Presencial i virtual,Coneixement expert,No hi ha una normativa o orientació,No,Tinc molt d'interès,Molt en desacord,En desacord,Molt d'acord,Molt d'acord,No en faig servir,Transcripcions,Exàmens o qüestionaris,Setmanalment,Diàriament,Sí,Per fer resums de llibres o articles,No,No,altres ...,8,8,3,Integrar-les,Un fet positiu,Motivat/da,He rebut una formació fora de la UB,9
53,Prefereixo no contestar,Filologia i Comunicació,Entre 10 i 20 anys,Agregat/da,Únicament virtual,Cap coneixement,No hi ha una normativa o orientació,Si,Tinc un interès moderat,En desacord,D'acord,En desacord,D'acord,Crear activitats d'aprenentatge,Recollir dades,Vídeos,Setmanalment,Esporàdicament,No,Per fer resums de llibres o articles,Sí,No,altres ...,6,4,3,altres ...,Un fet positiu,Engrescat/da,He rebut una formació del IDP/ICE,6
36,Altres,Filologia i Comunicació,Entre 5 i 10 anys,Col·laborador/a permanent doctor/a,Presencial i virtual,Bon coneixement,No hi ha una normativa o orientació,No,Tinc un interès moderat,D'acord,D'acord,Molt en desacord,En desacord,Avaluar processos,Anàlisi de textos,Mapes conceptuals o esquemes,Mai,Esporàdicament,Sí,Per fer resums de llibres o articles,Sí,Sí,Usen les IA com expert a qui preguntar,2,3,3,altres ...,Un fet positiu,Més productiu/va,M'he autoformat,2
28,Prefereixo no contestar,Filologia i Comunicació,Menys de 5 anys,Lector/a,Únicament virtual,Bon coneixement,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,Molt en desacord,Molt en desacord,Molt en desacord,Molt d'acord,Crear materials docents,Recollir dades,Imatges,Setmanalment,Mai,Sí,Per fer resums de llibres o articles,Sí,No,Usen les IA com expert a qui preguntar,7,2,3,Integrar-les,Un fet positiu,Sobrepassat/da,No tinc cap formació,3
36,Altres,Filologia i Comunicació,Menys de 5 anys,Lector/a,Únicament virtual,Bon coneixement,No hi ha una normativa o orientació,No,Tinc molt d'interès,Molt d'acord,En desacord,D'acord,Molt en desacord,Preparar i planificar les classes,Visualització de dades,Situacions d'aprenentatge,Diàriament,Esporàdicament,Sí,Per fer resums de llibres o articles,Sí,Sí,Usen les IA per experimentar amb elles,4,3,1,Superar-les,Un fet negatiu,Motivat/da,No tinc cap formació,4
32,Altres,Filologia i Comunicació,Entre 10 i 20 anys,Col·laborador/a permanent,Presencial i virtual,Bon coneixement,Sí hi ha una normativa o orientació,Si,Tinc un interès moderat,D'acord,Molt en desacord,Molt en desacord,Molt en desacord,Crear materials docents,No en faig servir,Imatges,Diàriament,Setmanalment,No,Per fer resums de llibres o articles,No,Sí,Usen les IA com expert a qui preguntar,7,8,1,Evitar-les,Un fet positiu,Més productiu/va,M'he autoformat,2
65,Prefereixo no contestar,Filologia i Comunicació,Entre 5 i 10 anys,Agregat/da,Únicament presencial,Coneixement expert,Desconec si hi ha una normativa o orientació,No,Tinc molt d'interès,Molt d'acord,D'acord,Molt d'acord,D'acord,Preparar i planificar les classes,Anàlisi de textos,Textos,Setmanalment,Esporàdicament,No,Usen les IA per practicar o auto-avaluar-se,Sí,No,Usen les IA per experimentar amb elles,4,3,1,altres ...,Un fet positiu,Engrescat/da,He estat o sóc formador/a d'IA,4
69,Masculí,Filologia i Comunicació,Menys de 5 anys,Col·laborador/a permanent doctor/a,Presencial i virtual,Poc coneixement,No hi ha una normativa o orientació,No,Tinc poc interès,En desacord,Molt d'acord,Molt en desacord,En desacord,Crear materials docents,Recollir dades,Vídeos,Setmanalment,Diàriament,Sí,Usen les IA com expert a qui preguntar,No,Sí,Per fer resums de llibres o articles,2,1,1,Superar-les,Un fet negatiu,Analfabet/ta,He estat o sóc formador/a d'IA,7
53,Altres,Filosofia,Menys de 5 anys,Lector/a,Únicament presencial,Poc coneixement,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,Molt en desacord,D'acord,En desacord,Molt d'acord,No en faig servir,Transcripcions,Vídeos,Esporàdicament,Mai,No,Usen les IA per experimentar amb elles,Sí,Sí,altres ...,8,2,2,Evitar-les,Un fet negatiu,"Abandonat/da, sense suport",He rebut una formació fora de la UB,9
48,Altres,Filosofia,Més de 20 anys,Col·laborador/a permanent doctor/a,Únicament virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,No,No vull saber res de la IA,D'acord,En desacord,D'acord,En desacord,Preparar i planificar les classes,Transcripcions,No en faig servir,Setmanalment,Esporàdicament,No,Usen les IA per experimentar amb elles,Sí,Sí,Usen les IA per practicar o auto-avaluar-se,8,5,3,Prohibir-les,Un fet negatiu,Analfabet/ta,He estat o sóc formador/a d'IA,8
61,Prefereixo no contestar,Filosofia,Entre 5 i 10 anys,PostDoc,Únicament virtual,Poc coneixement,Sí hi ha una normativa o orientació,Si,Tinc un interès moderat,Molt d'acord,Molt d'acord,En desacord,Molt en desacord,Avaluar tasques,No en faig servir,No en faig servir,Setmanalment,Esporàdicament,No,Usen les IA com expert a qui preguntar,No,No,Usen les IA perquè els hi faci treballs o tasques,5,8,1,altres ...,Un fet positiu,Analfabet/ta,M'he autoformat,3
48,Prefereixo no contestar,Filosofia,Entre 5 i 10 anys,Col·laborador/a permanent doctor/a,Únicament presencial,Cap coneixement,No hi ha una normativa o orientació,No,Tinc poc interès,Molt d'acord,En desacord,Molt en desacord,D'acord,Crear activitats d'aprenentatge,Anàlisi de textos,Vídeos,Setmanalment,Mai,No,Usen les IA per practicar o auto-avaluar-se,Sí,No,Usen les IA com expert a qui preguntar,3,3,3,Prohibir-les,Un fet positiu,Engrescat/da,He rebut una formació al meu departament o facultat,3
45,Masculí,Filosofia,Entre 10 i 20 anys,Agregat/da,Presencial i virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc poc interès,Molt en desacord,En desacord,En desacord,D'acord,No en faig servir,No en faig servir,Situacions d'aprenentatge,Setmanalment,Esporàdicament,No,Usen les IA per practicar o auto-avaluar-se,No,No,Usen les IA per practicar o auto-avaluar-se,4,5,2,Prohibir-les,Un fet positiu,Sobrepassat/da,He rebut una formació del IDP/ICE,8
38,Altres,Filosofia,Entre 5 i 10 anys,Catedràtic/a,Únicament virtual,Poc coneixement,No hi ha una normativa o orientació,No,No vull saber res de la IA,Molt en desacord,Molt d'acord,D'acord,Molt en desacord,Crear activitats d'aprenentatge,Anàlisi de dades,Mapes conceptuals o esquemes,Mai,Esporàdicament,Sí,Usen les IA per experimentar amb elles,No,No,Per fer resums de llibres o articles,8,4,1,Evitar-les,Un fet negatiu,Més productiu/va,No tinc cap formació,3
65,Femení,Filosofia,Més de 20 anys,Col·laborador/a permanent,Únicament virtual,Coneixement expert,Sí hi ha una normativa o orientació,Si,Tinc poc interès,En desacord,Molt en desacord,Molt en desacord,D'acord,Avaluar tasques,No en faig servir,Vídeos,Setmanalment,Setmanalment,Sí,altres ...,Sí,Sí,Usen les IA com expert a qui preguntar,7,7,1,Superar-les,Un fet positiu,Més productiu/va,No tinc cap formació,6
62,No binari,Filosofia,Entre 10 i 20 anys,Col·laborador/a permanent,Únicament virtual,Cap coneixement,No hi ha una normativa o orientació,No,Tinc un interès moderat,Molt d'acord,En desacord,Molt d'acord,Molt d'acord,Preparar i planificar les classes,Anàlisi de dades,Mapes conceptuals o esquemes,Mai,Mai,No,Usen les IA per practicar o auto-avaluar-se,Sí,Sí,Usen les IA per experimentar amb elles,5,6,1,Prohibir-les,Un fet positiu,Analfabet/ta,He rebut una formació del IDP/ICE,7
26,Femení,Filosofia,Menys de 5 anys,Associat/da,Presencial i virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,Molt d'acord,Molt en desacord,Molt en desacord,Preparar i planificar les classes,Anàlisi de textos,Imatges,Diàriament,Setmanalment,No,Usen les IA perquè els hi faci treballs o tasques,Sí,Sí,Usen les IA com expert a qui preguntar,1,9,1,Evitar-les,Un fet positiu,Més productiu/va,No tinc cap formació,4
32,Prefereixo no contestar,Filosofia,Entre 5 i 10 anys,Col·laborador/a permanent,Únicament virtual,Coneixement expert,Sí hi ha una normativa o orientació,Si,Tinc poc interès,D'acord,D'acord,D'acord,En desacord,Avaluar tasques,Anàlisi de textos,Imatges,Diàriament,Setmanalment,No,Per fer resums de llibres o articles,Sí,No,altres ...,9,8,3,Evitar-les,Un fet negatiu,Engrescat/da,He rebut una formació fora de la UB,7
43,Femení,Física,Entre 10 i 20 anys,Titular,Únicament presencial,Poc coneixement,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,En desacord,Molt en desacord,D'acord,Molt en desacord,Crear materials docents,No en faig servir,Vídeos,Setmanalment,Mai,Sí,Usen les IA perquè els hi faci treballs o tasques,No,No,Usen les IA perquè els hi faci treballs o tasques,1,2,3,altres ...,Un fet positiu,Més productiu/va,He estat o sóc formador/a d'IA,3
51,Masculí,Física,Entre 5 i 10 anys,Associat/da,Únicament virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,D'acord,Molt d'acord,Molt d'acord,Molt d'acord,No en faig servir,Recollir dades,Vídeos,Mai,Mai,Sí,Usen les IA perquè els hi faci treballs o tasques,Sí,Sí,altres ...,3,1,2,Prohibir-les,Un fet negatiu,Engrescat/da,He rebut una formació fora de la UB,4
39,Altres,Física,Més de 20 anys,Titular,Únicament presencial,Cap coneixement,No hi ha una normativa o orientació,No,No vull saber res de la IA,Molt d'acord,D'acord,En desacord,Molt d'acord,Preparar i planificar les classes,Visualització de dades,Textos,Setmanalment,Esporàdicament,No,Per fer resums de llibres o articles,Sí,No,Usen les IA com expert a qui preguntar,4,2,3,altres ...,Un fet positiu,Sobrepassat/da,No tinc cap formació,2
62,No binari,Física,Menys de 5 anys,PostDoc,Únicament virtual,Coneixement expert,No hi ha una normativa o orientació,No,No vull saber res de la IA,En desacord,En desacord,Molt d'acord,En desacord,Avaluar processos,Anàlisi de textos,Textos,Esporàdicament,Esporàdicament,No,Per fer resums de llibres o articles,Sí,Sí,altres ...,9,7,2,Prohibir-les,Un fet positiu,Sobrepassat/da,He rebut una formació al meu departament o facultat,1
61,Femení,Física,Entre 5 i 10 anys,PreDoc,Presencial i virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,No,No vull saber res de la IA,D'acord,Molt d'acord,Molt d'acord,D'acord,Preparar i planificar les classes,Recollir dades,Imatges,Setmanalment,Diàriament,No,Usen les IA per practicar o auto-avaluar-se,No,Sí,Usen les IA com expert a qui preguntar,4,3,1,Evitar-les,Un fet positiu,Sobrepassat/da,He rebut una formació del IDP/ICE,5
40,No binari,Física,Entre 5 i 10 anys,Agregat/da,Únicament presencial,Cap coneixement,No hi ha una normativa o orientació,No,No vull saber res de la IA,En desacord,Molt d'acord,D'acord,Molt en desacord,Preparar i planificar les classes,Visualització de dades,Situacions d'aprenentatge,Setmanalment,Diàriament,No,Per fer resums de llibres o articles,No,Sí,altres ...,9,1,3,Superar-les,Un fet positiu,Sobrepassat/da,He rebut una formació fora de la UB,5
29,Femení,Física,Entre 5 i 10 anys,Agregat/da,Únicament virtual,Poc coneixement,Sí hi ha una normativa o orientació,No,No vull saber res de la IA,Molt d'acord,Molt en desacord,Molt en desacord,Molt en desacord,Crear activitats d'aprenentatge,Transcripcions,Vídeos,Setmanalment,Diàriament,No,Usen les IA com expert a qui preguntar,No,Sí,Usen les IA per practicar o auto-avaluar-se,4,7,3,Superar-les,Un fet positiu,Engrescat/da,He estat o sóc formador/a d'IA,5
53,Masculí,Física,Entre 5 i 10 anys,PreDoc,Presencial i virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,No vull saber res de la IA,D'acord,Molt en desacord,D'acord,D'acord,Avaluar processos,Transcripcions,Presentacions,Esporàdicament,Diàriament,No,Usen les IA perquè els hi faci treballs o tasques,No,No,Usen les IA com expert a qui preguntar,3,8,2,altres ...,Un fet positiu,Més productiu/va,He estat o sóc formador/a d'IA,3
46,Masculí,Física,Entre 5 i 10 anys,Catedràtic/a,Únicament virtual,Poc coneixement,No hi ha una normativa o orientació,No,No vull saber res de la IA,Molt en desacord,D'acord,Molt en desacord,Molt d'acord,Avaluar processos,Anàlisi de dades,Vídeos,Setmanalment,Mai,Sí,altres ...,No,No,Usen les IA per practicar o auto-avaluar-se,9,3,2,Prohibir-les,Un fet positiu,Motivat/da,No tinc cap formació,6
36,Femení,Física,Més de 20 anys,Catedràtic/a,Únicament presencial,Cap coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc un interès moderat,Molt d'acord,Molt d'acord,Molt d'acord,En desacord,No en faig servir,Anàlisi de dades,Mapes conceptuals o esquemes,Mai,Diàriament,Sí,Usen les IA com expert a qui preguntar,No,Sí,Usen les IA per practicar o auto-avaluar-se,4,8,1,Integrar-les,Un fet positiu,Més productiu/va,He rebut una formació del IDP/ICE,6
60,Altres,Geografia i Història,Entre 5 i 10 anys,Agregat/da,Únicament presencial,Bon coneixement,Sí hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,D'acord,Molt d'acord,Molt d'acord,Crear activitats d'aprenentatge,No en faig servir,Textos,Esporàdicament,Setmanalment,Sí,Usen les IA per experimentar amb elles,No,No,Usen les IA com expert a qui preguntar,8,7,3,Integrar-les,Un fet negatiu,"Abandonat/da, sense suport",No tinc cap formació,3
63,Masculí,Geografia i Història,Entre 10 i 20 anys,Titular,Presencial i virtual,Cap coneixement,No hi ha una normativa o orientació,No,Tinc un interès moderat,Molt en desacord,Molt d'acord,En desacord,Molt en desacord,No en faig servir,Anàlisi de dades,Textos,Setmanalment,Esporàdicament,No,Usen les IA com expert a qui preguntar,Sí,No,Usen les IA com expert a qui preguntar,6,9,3,Evitar-les,Un fet positiu,Analfabet/ta,No tinc cap formació,9
38,No binari,Geografia i Història,Entre 5 i 10 anys,Agregat/da,Presencial i virtual,Coneixement expert,Desconec si hi ha una normativa o orientació,Si,Tinc un interès moderat,En desacord,D'acord,D'acord,En desacord,Crear materials docents,No en faig servir,Situacions d'aprenentatge,Mai,Esporàdicament,Sí,Per fer resums de llibres o articles,Sí,No,Usen les IA com expert a qui preguntar,8,6,2,altres ...,Un fet positiu,"Abandonat/da, sense suport",He rebut una formació fora de la UB,7
60,No binari,Geografia i Història,Més de 20 anys,Col·laborador/a permanent,Únicament virtual,Poc coneixement,No hi ha una normativa o orientació,Si,No vull saber res de la IA,Molt d'acord,Molt en desacord,D'acord,En desacord,Avaluar processos,Anàlisi de dades,No en faig servir,Esporàdicament,Esporàdicament,Sí,altres ...,Sí,No,Per fer resums de llibres o articles,4,6,3,altres ...,Un fet negatiu,"Abandonat/da, sense suport",No tinc cap formació,5
25,Masculí,Geografia i Història,Menys de 5 anys,Associat/da,Presencial i virtual,Bon coneixement,Sí hi ha una normativa o orientació,No,Tinc poc interès,Molt d'acord,D'acord,D'acord,D'acord,Crear activitats d'aprenentatge,Transcripcions,Vídeos,Setmanalment,Setmanalment,No,Usen les IA per practicar o auto-avaluar-se,No,Sí,Usen les IA per practicar o auto-avaluar-se,9,9,2,Evitar-les,Un fet positiu,Motivat/da,He estat o sóc formador/a d'IA,8
56,Masculí,Geografia i Història,Més de 20 anys,Lector/a,Presencial i virtual,Bon coneixement,Desconec si hi ha una normativa o orientació,Si,Tinc molt d'interès,Molt d'acord,Molt en desacord,Molt d'acord,Molt d'acord,Crear activitats d'aprenentatge,Anàlisi de dades,Imatges,Diàriament,Esporàdicament,Sí,Per fer resums de llibres o articles,Sí,No,Usen les IA per practicar o auto-avaluar-se,1,8,2,Superar-les,Un fet positiu,"Abandonat/da, sense suport",He rebut una formació al meu departament o facultat,4
62,No binari,Geografia i Història,Més de 20 anys,Catedràtic/a,Presencial i virtual,Coneixement expert,No hi ha una normativa o orientació,Si,Tinc molt d'interès,Molt en desacord,Molt en desacord,En desacord,En desacord,Avaluar processos,Visualització de dades,Vídeos,Esporàdicament,Diàriament,No,Usen les IA per experimentar amb elles,Sí,No,altres ...,6,3,3,altres ...,Un fet positiu,Més productiu/va,He rebut una formació al meu departament o facultat,3
28,Masculí,Geografia i Història,Entre 5 i 10 anys,Col·laborador/a permanent,Únicament presencial,Coneixement expert,Desconec si hi ha una normativa o orientació,No,No vull saber res de la IA,Molt en desacord,Molt d'acord,Molt en desacord,Molt d'acord,Crear materials docents,Anàlisi de textos,Exàmens o qüestionaris,Esporàdicament,Setmanalment,No,Usen les IA perquè els hi faci treballs o tasques,Sí,No,Usen les IA per practicar o auto-avaluar-se,7,2,3,Integrar-les,Un fet positiu,Motivat/da,He estat o sóc formador/a d'IA,1
34,Prefereixo no contestar,Geografia i Història,Més de 20 anys,Lector/a,Únicament virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,No,Tinc un interès moderat,Molt d'acord,Molt d'acord,Molt en desacord,Molt en desacord,Avaluar processos,Anàlisi de dades,No en faig servir,Mai,Diàriament,Sí,altres ...,Sí,No,Usen les IA per experimentar amb elles,3,5,1,Integrar-les,Un fet positiu,Motivat/da,He rebut una formació fora de la UB,7
66,No binari,Geografia i Història,Entre 10 i 20 anys,Col·laborador/a permanent,Presencial i virtual,Poc coneixement,Sí hi ha una normativa o orientació,Si,Tinc molt d'interès,Molt d'acord,En desacord,D'acord,Molt en desacord,Preparar i planificar les classes,Anàlisi de textos,Presentacions,Setmanalment,Setmanalment,No,Usen les IA per experimentar amb elles,No,No,altres ...,3,9,3,Evitar-les,Un fet negatiu,"Abandonat/da, sense suport",He rebut una formació al meu departament o facultat,1
57,Femení,Informació i Mitjans Audiovisuals,Més de 20 anys,Catedràtic/a,Únicament presencial,Cap coneixement,Sí hi ha una normativa o orientació,No,No vull saber res de la IA,D'acord,En desacord,En desacord,D'acord,Crear materials docents,Visualització de dades,Imatges,Esporàdicament,Diàriament,Sí,Usen les IA per practicar o auto-avaluar-se,Sí,No,Usen les IA per experimentar amb elles,2,4,2,Prohibir-les,Un fet positiu,Analfabet/ta,He rebut una formació fora de la UB,6
57,Prefereixo no contestar,Informació i Mitjans Audiovisuals,Més de 20 anys,Agregat/da,Únicament virtual,Poc coneixement,Desconec si hi ha una normativa o orientació,Si,No vull saber res de la IA,Molt en desacord,En desacord,Molt d'acord,Molt en desacord,Crear activitats d'aprenentatge,Transcripcions,Imatges,Setmanalment,Esporàdicament,No,Per fer resums de llibres o articles,Sí,Sí,Usen les IA per experimentar amb elles,4,9,3,Superar-les,Un fet positiu,Sobrepassat/da,He estat o sóc formador/a d'IA,4
32,Femení,Informació i Mitjans Audiovisuals,Entre 5 i 10 anys,PreDoc,Presencial i virtual,Poc coneixement,Sí hi ha una normativa o orientació,No,Tinc molt d'interès,Molt d'acord,D'acord,Molt en desacord,Molt en desacord,Preparar i planificar les classes,No en faig servir,Vídeos,Diàriament,Setmanalment,No,Usen les IA per practicar o auto-avaluar-se,No,No,Usen les IA per practicar o auto-avaluar-se,1,3,3,altres ...,Un fet negatiu,Analfabet/ta,No tinc cap formació,4
58,Altres,Informació i Mitjans Audiovisuals,Més de 20 anys,Col·laborador/a permanent doctor/a,Únicament virtual,Cap coneixement,No hi ha una normativa o orientació,Si,Tinc molt d'interès,Molt en desacord,Molt d'acord,D'acord,D'acord,Crear activitats d'aprenentatge,Anàlisi de dades,Vídeos,Setmanalment,Mai,Sí,altres ...,No,Sí,Usen les IA perquè els hi faci treballs o tasques,4,6,3,altres ...,Un fet positiu,Engrescat/da,He rebut una formació fora de la UB,7
31,Altres,Informació i Mitjans Audiovisuals,Menys de 5 anys,Col·laborador/a permanent doctor/a,Únicament virtual,Coneixement expert,No hi ha una normativa o orientació,No,Tinc poc interès,Molt en desacord,Molt en desacord,En desacord,Molt en desacord,Crear materials docents,Anàlisi de dades,Mapes conceptuals o esquemes,Esporàdicament,Setmanalment,Sí,Usen les IA per experimentar amb elles,No,Sí,Per fer resums de llibres o articles,6,7,2,Superar-les,Un fet negatiu,Engrescat/da,M'he autoformat,2
65,Femení,Informació i Mitjans Audiovisuals,Entre 10 i 20 anys,Lector/a,Únicament presencial,Cap coneixement,Sí hi ha una normativa o orientació,Si,No vull saber res de la IA,Molt d'acord,En desacord,Molt d'acord,D'acord,Preparar i planificar les classes,Anàlisi de textos,Situacions d'aprenentatge,Diàriament,Setmanalment,Sí,Usen les IA per practicar o auto-avaluar-se,No,Sí,Usen les IA com expert a qui preguntar,2,8,2,Prohibir-les,Un fet positiu,Motivat/da,He rebut una formació fora de la UB,4
59,Prefereixo no contestar,Informació i Mitjans Audiovisuals,Més de 20 anys,Titular,Únicament virtual,Cap coneixement,Desconec si hi ha una normativa o orientació,No,No vull saber res de la IA,Molt d'acord,D'acord,Molt en desacord,Molt d'acord,Avaluar tasques,Anàlisi de dades,Vídeos,Diàriament,Mai,Sí,Per fer resums de llibres o articles,Sí,No,Usen les IA per experimentar amb elles,5,3,1,Prohibir-les,Un fet negatiu,Més productiu/va,He rebut una formació fora de la UB,1
